ZINC ID,compound_ID,% bound 3[H]-LSD @ 10uM (mean),% bound 3[H]-LSD @ 10uM (SEM),DOCK score,TC to known,SMILES
ZINCnx000002oiJB,Z821834546,81.56,9.799,-45.381096,0.338462,Cc1cc(C(=O)CN2CCN(CCc3cccs3)CC2)c(C)[nH]1
ZINCkt000000wqql,Z2440063908,80.64,1.723,-46.777294,0.294872,CC1CCN(CC(=O)Nc2ccc3c(c2)CCN3)CC1
ZINCls000000vLLP,Z3380892834,80.13,6.316,-45.973846,0.285714,CN(Cc1ccccc1O)C(=O)C[C@@H]1CC2(CCC2)CN1
ZINCoC000000Eaa8,Z5247692566,79.6,11.65,-49.058067,0.375,CC1(C)CCO[C@H]1CN1CCOC[C@H]1Cc1c[nH]c2ccccc12
ZINCnz000000jF0k,Z3055532518,78.29,4.024,-45.731079,0.323077,O=C([C@H]1C[C@H]2CCCCN2C1)N1CCCCc2cc(O)ccc21
ZINCkj00000hafO0,Z4214491532,77.9,2.993,-46.339027,0.229508,CC1=C(Br)CN(C(=O)c2[nH]nnc2[C@@H]2CCNC2)CC1
ZINCly000001Uhoe,Z2629683785,77.43,5.508,-45.444862,0.254237,C[C@H](Cc1ccc(O)cc1)NCC1(O)CCC(F)(F)CC1
ZINCnA000005b3N5,Z4390313096,77.43,8.956,-44.73616,0.347826,COc1ccc(CN[C@H](C)Cc2ccc(O)cc2)c([N+](=O)[O-])c1
ZINCjs000002K0Pd,Z1997799854,76.95,22.86,-45.433544,0.295775,C[C@H](CCc1ccc(O)cc1)NCC1([S@@](C)=O)CC1
ZINCmo0000082GE0,Z5247693439,76.5,0.8358,-45.526073,0.28125,Cc1ccc(F)c(O)c1CN1CCN([C@@H]2CCC[C@@H]2O)CC1
ZINCml000001Ut69,Z2950280771,76.46,7.884,-45.537468,0.323529,Cc1cccc([C@H](O)CN2CCN(Cc3cn[nH]c3)CC2)c1
ZINCki0000059c37,Z3800669714,76.07,3.633,-44.875881,0.277778,CCc1ncc(CN2CCN(C[C@@H]3CCCO3)CC2)[nH]1
ZINCms000005eM5M,Z4275936496,75.84,3.59,-49.341995,0.34375,C[C@@H](C(=O)NCC(F)(F)F)N1CC[C@@H](c2cccc(O)c2)C1
ZINClk00000jWw0J,Z4485837911,75.24,9.406,-46.527176,0.320755,O=C(N[C@H]1CCc2cc(O)ccc2C1)[C@@H]1C2CCN1CC2
ZINCjm000003tJAb,Z2828280684,74.92,12.17,-45.322456,0.268657,CC(C)[C@@H](C(=O)NCc1cc(N)cc(F)c1)N(C)C
ZINCox000000LB1q,Z2792386964,74.85,7.398,-45.379574,0.316667,C[C@@H]1CN(Cc2ccccc2)CC[C@@H]1N(C)c1cc(Cl)nnc1O
ZINCjE000003V1Wf,Z3877973412,74.8,14.73,-44.527699,0.229508,CC(C)c1cc([C@@H]2CCCN(C3CC=CC3)C2)n[nH]1
ZINClD000002X78Q,Z2945906816,74.68,7.094,-47.992786,0.292308,Cc1ccc(F)c(CN2CCC[C@@H](c3cc[nH]n3)C2)c1F
ZINCnx000002ul1H,Z5247692510,74.5,15.57,-48.075203,0.333333,O[C@H](CNCCc1c[nH]c2cc(F)cc(F)c12)c1cccnc1
ZINCny000002LCyh,Z5247694062,74.32,7.938,-46.720284,0.338462,Fc1cccc(-c2n[nH]cc2CN2CCN(C3CCC3)CC2)c1
ZINCjr000005GzDN,Z4276296588,74.26,10.15,-47.153629,0.36,Oc1cccc(C[C@H]2CCN(CC3(O)CCC3)C2)c1
ZINCow000000BaXf,Z5247692633,74.08,5.665,-45.326183,0.246377,O[C@H]1c2ccccc2OC[C@@H]1NCc1cccc(-c2cn[nH]c2)c1
ZINCnv0000062kzM,WXVL_AN2312QS0678,74.03,2.225,-49.514896,0.301205,Clc1c[nH]c2nccc-2c1CN1CCN(C[C@@H]2CCCO2)CC1
ZINCkE000004GjgI,Z4404397240,73.71,4.923,-45.216991,0.241935,C[C@@H](Cc1ccoc1)NCC(C)(C)c1ccc(O)cc1
ZINCnu000001jGpV,Z2102938040,73.39,8.397,-44.582073,0.333333,COC(=O)Cc1ccccc1CN1CC[C@H](N2CCCC2)[C@H]1C
ZINCms000003Rntc,WXVL_AN6969QS1064,72.87,2.393,-45.80822,0.305556,CN(C1CN(Cc2c[nH]c3ncc(Br)cc23)C1)[C@H]1CCOC1
ZINCnp00000oKYVc,Z5247692456,72.46,1.861,-47.098206,0.222222,CN(Cc1cc(Br)cs1)C(=O)COC(=O)[C@]1(C)CCNC(=O)C1
ZINCoA000000xc4h,Z2839606174,72.15,5.512,-44.619724,0.338983,Oc1ccc(CN2CCN(C[C@H]3CCC4(CCCC4)O3)CC2)cc1
ZINCnC000007c5D6,Z4215446361,72.06,20.67,-44.985123,0.343284,COc1cccc(CN2CC[C@@H](c3ccc(O)cc3)C2)c1C#N
ZINCpz000000icn7,Z3816129095,72.05,7.774,-45.565372,0.346667,Cc1ccc2[nH]cc(Cc3nc([C@@H]4CN5CCC[C@@H]5CO4)no3)c2c1
ZINCjx000003hNSQ,Z2877147889,71.23,2.355,-44.240463,0.268293,CCc1ccc(CN2CC[C@@H](c3n[nH]c(C)n3)C2)s1
ZINCnx000002djOr,Z2951704214,71.08,17.52,-52.730022,0.324324,CCCC[C@@H](C(N)=O)N1CCC[C@@H](c2c[nH]c3ncccc23)C1
ZINCmo00000dTJuJ,Z5247692363,70.37,3.326,-44.357693,0.307692,O=C([C@@H]1[C@H]2CCCCN[C@H]21)N1CCCc2ccc(CO)cc21
ZINCly000001UN0u,Z5247693270,70.15,8.263,-44.479561,0.246575,C[C@H]1C[C@@H]2CN(Cc3c(F)ccc4[nH]ccc34)CCN2C1
ZINCnC000005jzPx,Z1568863482,69.43,9.038,-46.694534,0.310345,COC(=O)c1ccccc1CN(C)[C@@H](C)Cc1ccc(O)cc1
ZINCnx000002gojC,Z3874868579,68.93,2.144,-44.605461,0.353659,CCc1ccc([N+](=O)[O-])cc1C(=O)O[C@H]1CCN(CCCF)C1
ZINCkv000000V6Xm,Z2589934375,68.74,2.163,-45.135303,0.296875,COc1cccc(F)c1CN[C@H](C)Cc1cc(C)[nH]n1
ZINCky000003BM7s,Z2406430766,68.4,9.502,-44.478409,0.333333,C[C@@H](Cc1ccc(O)cc1)NC[C@@H](O)CC1CCCC1
ZINCkr000003nvC4,Z4594129860,67.21,10.17,-44.390503,0.315789,COC[C@@H](C)N1CCN(Cc2cc(N)ccc2Br)CC1
ZINCmp000002vdIx,Z3600337919,65.77,24.76,-45.7089,0.346667,CCN(CC(=O)NCC(=O)c1c[nH]c2ccccc12)C1CC1
ZINCmy000006BTDZ,Z3522569380,64.87,8.058,-44.60421,0.293103,CC1(C)CN[C@@H](CC(=O)N2CCc3cc(O)c(Br)cc3C2)C1
ZINCpn00000dT4dK,WXVL_AN2312QS1036,64.53,6.009,-45.124458,0.310345,O=[N+]([O-])c1ccc2[nH]nc(CN3CCN(C[C@H]4CCCO4)CC3)c2c1
ZINCow000000uHC7,Z3314342358,64.25,3.947,-46.429016,0.306452,C[C@H](c1cn(-c2ccccc2)nn1)N1CC[C@@H](c2cnccn2)C1
ZINCmw000006jhP7,Z4486711277,64.23,3.762,-46.176903,0.366667,O=C(NCCc1c[nH]c2cccc(Br)c12)[C@@H]1C2CCN1CC2
ZINCnB000006RaOV,Z4621308392,63.87,10.38,-47.102066,0.235294,COC1(OC)CC[C@@H]1CN1CCC[C@@H](c2cc(C(C)C)[nH]n2)C1
ZINCmA000003tiIE,Z4289405420,63.64,12.63,-47.284508,0.25,CCCN(Cc1ccccc1O)C(=O)[C@@H]1CCC[C@H](CC)N1
ZINCnx000002mwD5,Z5247694018,63.63,1.91,-44.295059,0.315789,C[C@@H]1C[C@@H]2CN([C@H](C)C(=O)c3c[nH]c4ccccc34)CCN2C1
ZINCmw000004l6pP,Z4312895798,63.54,2.935,-44.266846,0.31746,COc1cc([C@H](C)O)cc(OC)c1OC[C@@H](C)N1CCCC1
ZINCny0000065qiD,WXVL_AK1883TA0039,63.2,3.053,-44.669655,0.293103,OC[C@@H](Cc1ccc(O)cc1)NC1CCc2ccccc2CC1
ZINCnw000001UOmx,Z1327476378,62.96,11.26,-45.506115,0.324675,CCOc1ccc([N+](=O)[O-])cc1CN1CCN(C2CCC2)CC1
ZINCnC000005jlaB,Z5247693811,59.32,12.07,-44.273609,0.24359,CN(CCC(=O)OC(C)(C)C)Cc1cccc(-c2cn[nH]c2)c1
ZINCny000006Lqpy,Z4171258292,59.2,3.222,-46.190582,0.310811,O=C1O[C@@H](CN2CC[C@](O)(c3cccc(Br)c3)C2)CC12CCC2
ZINCml000007TBGM,Z4421719114,58.49,4.4,-46.210072,0.295775,C[C@H]1OCCN[C@@H]1C(=O)NCc1ccc2cc(O)ccc2c1
ZINCkA000001JWU2,Z2878253550,57.4,8.16,-44.260719,0.258065,C[C@H](Cc1ccc(O)cc1)N[C@@H]1COC2(CCCC2)C1
ZINCoE000002MqFD,Z2876442907,57.21,9.292,-46.151611,0.366667,CCOC(=O)c1cnc(CNCCc2c[nH]c3cccc(C)c23)s1
ZINCow000000B6Cr,Z3801294404,57.08,15.58,-46.325443,0.285714,OC1(CNCc2cccc(-c3cn[nH]c3)c2)Cc2ccccc2C1
ZINCiz000004L7Qo,Z4255244733,55.79,6.215,-44.39299,0.229508,CN=c1nc(C[C@H](C)N[C@@H](C)c2cccs2)[nH]s1
ZINCkl000005CNRt,Z4057113220,54.82,4.759,-44.690815,0.289855,O=C(NCCCc1ccc(O)cc1)[C@@H]1CC[C@@H](F)CN1
ZINCpD000001OEaC,Z5247694478,51.21,6.885,-44.844799,0.246753,C[C@H](c1nnnn1-c1ccccc1)N(C)CCc1ccc(O)c(Br)c1
ZINCnv000001Jtid,Z1525112173,50.9,2.405,-45.429291,0.348485,Cc1[nH]c2ccccc2c1CCNC(=O)CN(C)[C@H]1CCSC1
ZINCnx000002s0Cv,Z5247694056,50.76,7.485,-48.497776,0.362319,O=C(CN1CC[C@](O)(c2ccccc2)C1)NCc1cc(Br)cs1
ZINCmy000006JxBW,Z4213811759,50.44,1.689,-44.37944,0.343284,Cn1ncc(C#N)c1CNCCc1c[nH]c2cccc(Br)c12
ZINCnv000001DLIA,Z1416883819,48.71,4.073,-46.313889,0.329114,COC(=O)[C@@]1(C)CCN(CC(=O)c2c[nH]c3cccc(C)c23)C1
ZINCkp00000dP2e3,Z4281342518,48.65,6.69,-45.118401,0.314815,O=C(CN1CCCCC1)NCCCc1ccc(O)cc1
ZINCmA000000LiHu,Z1262745049,47.71,9.952,-44.275848,0.378378,C1=C(c2c[nH]c3ncccc23)CCN(CCOCC2CC2)C1
ZINCos000004Zdi5,Z2406798947,47.21,3.61,-46.628006,0.338235,N#Cc1ccc(OC[C@@H](O)CNCCCc2cccc(O)c2)cc1
ZINCjA0000052JjI,Z5247693123,47.08,3.676,-44.963516,0.257576,CC(C)N1CCCN(Cc2cc(O)cc(Br)c2)CC1
ZINCmE000001SKpu,Z5247693472,46.15,2.862,-44.849342,0.306122,CC[C@H](c1ccccc1)N1CCN(Cc2n[nH]cc2Br)CC1
ZINCox000008ttH5,Z4209798650,44.99,10.1,-46.925613,0.323077,CO[C@H]1CCN(Cc2cn(-c3ccc4[nH]ccc4c3)nn2)[C@H](C)C1
ZINCow000000nIxH,Z2272242666,44.19,9.254,-48.140869,0.24359,CCc1ccc(CN2CCN([C@H](C)c3nc(Cl)nc(=N)[nH]3)CC2)s1
ZINCoA000000nhft,Z1429074662,41.97,3.424,-46.521355,0.373134,CCN(C(=O)c1cnc(C)[nH]1)[C@@H]1CCN([C@H](C)c2ccccc2)C1
ZINCpC000001j828,Z2800567897,40.54,5.655,-44.496078,0.316667,CN(CCc1ccccc1)CC(=O)N1CCC[C@H]1c1ccc(O)cc1
ZINCmr000000krIB,Z1289666170,38.8,4.189,-46.872559,0.323077,CC[C@H](O)CN1CCN(Cc2cc([N+](=O)[O-])ccc2Cl)CC1
ZINCoC000000Lv9W,Z1440106684,37.89,6.14,-47.541523,0.327273,C[C@@H](Cc1ccc(O)cc1)N[C@H](C)c1cn(-c2ccccc2)nn1
ZINCmC000003jKqg,Z5247693498,37.34,2.439,-47.841114,0.306452,Oc1cc(CN2CCN3CCCC[C@@H]3C2)c2ccccc2c1
ZINCpC000001r2rP,Z2493304238,37.09,2.943,-47.170536,0.315068,Cc1[nH]c2ccccc2c1C(=O)[C@@H](C)N1CC[C@@H](c2nccn2C)C1
ZINClE000003aSFT,Z5247693317,35.75,4.687,-44.600174,0.231884,Oc1cc(Br)c(I)cc1CN1CCN2CC3(CC3)C[C@H]2C1
ZINCmu000004c2IS,Z4315344256,35.15,6.313,-47.15892,0.308824,CC(C)COC[C@H](O)CN1CCC(c2cccc(N)c2)CC1
ZINClv0000017Uz4,Z4008885341,34.82,2.165,-44.994545,0.235294,CC1(C)CN([C@@H]2CCN(Cc3cc(C4CCC4)n[nH]3)C2)C1
ZINClq0000008cwt,Z3864224788,34.5,3.174,-44.43465,0.26087,C[C@@H]1C[C@@H]2N[C@H](C(=O)Nc3ccc4[nH]ccc4c3)C[C@H]2O1
ZINCmz000003r2N0,Z2350994355,33.14,2.288,-47.653633,0.266667,C[C@@H](Cn1cc(Br)ccc1=O)N[C@H](C)Cc1ccc(O)cc1
ZINCpE00000060nA,Z5247694489,32.86,7.231,-44.845234,0.377049,CCOc1ccc(CN2CCN(Cc3cccc(O)c3)CC2)c(C)c1
ZINCnD000005qmC5,Z2998710099,32.55,4.701,-48.070183,0.313433,Oc1cccc(CCCNC[C@H](O)c2cc3ccccc3o2)c1
ZINCkl000005A2RF,Z1929476469,32.1,3.662,-46.213684,0.33871,C[C@@H]1CCCN1CC(=O)Nc1ccc2c(c1)C[C@H](O)C2
ZINCoE000004GTep,Z5247692629,32,4.816,-44.916161,0.33871,Clc1ccc(-c2n[nH]cc2CN2CCN(C34CC(C3)C4)CC2)cc1
ZINCnv00000a91EH,Z4414977751,30.96,4.234,-45.994221,0.366667,c1cc2[nH]ncc2cc1-n1cc(CN2CCC[C@H]2C2CC2)nn1
ZINCmw000004loYL,Z1410855656,30.26,4.656,-45.510612,0.253165,C[C@@H](Cc1ccc(O)cc1)N(C)CC(=O)NCc1cccs1
ZINCox000000RZEy,Z5247694434,28.57,5.413,-45.286503,0.323529,Oc1ccc(CN2CCN(CCO[C@@H]3CCCCO3)CC2)cc1Cl
ZINCnB000006X408,Z3522398862,28.44,4.326,-45.036476,0.296875,N[C@@H](CC(=O)N1CCc2cc(O)cc(Br)c2C1)c1ccccc1
ZINCov000000ff5U,Z2437670146,27.44,2.602,-44.245682,0.28169,C[C@@H]1C[C@H](c2ccccc2)CN1C(=O)c1cc([C@@H]2CCNC2)[nH]n1
ZINCkp0000068MxK,Z3018730520,25.43,4.117,-44.373055,0.25,CN=c1[nH]c(N(C)C2CCN(C(C)C)CC2)ncc1F
ZINCnA000000EEXX,Z5247693746,24.83,2.122,-46.143848,0.275362,O[C@@H](CNCc1cccc(-c2nc[nH]n2)c1)c1ccccc1Br
ZINCmy000006IxKs,Z5247692422,24.71,6.708,-47.225605,0.35,Cc1[nH]c2cccc(Br)c2c1CCNC(=O)[C@@H]1NCC[C@H]1C
ZINCns000000S3Mn,Z1231815350,23.93,8.832,-45.560429,0.289474,O=C(c1csc(Nc2ccccn2)n1)N1CCN2CCC[C@@H]2C1
ZINCpE000000dC3B,Z5247694495,23.12,2.419,-44.961433,0.258824,C[C@@H](Cc1c(F)ccc(Cl)c1F)N[C@H]1CCCc2c1cnn2CCO
ZINCm5000006gp3W,Z5247693411,22.39,3.058,-44.748795,0.285714,N#Cc1c[nH]c(CN2CCN([C@H]3CCC[C@H]3O)CC2)nc1=N
ZINCnp000002PhGj,Z1612290114,22.13,2.055,-45.337791,0.278481,Cc1cc(C2=CCN(CC3OCCO3)CC2)cc([N+](=O)[O-])c1N
ZINClw000001vuNO,Z5247693243,20.25,5.5,-44.93689,0.267606,Clc1ccc(-c2n[nH]cc2CN2CCN3CCC[C@H]3C2)o1
ZINCnA000005bNTs,Z5247693797,19.95,5.001,-48.913101,0.320988,Cc1[nH]c2ccccc2c1SCCNC(=O)CN1CC[C@@H](C)C1
ZINCnA000005bnd5,Z4579728434,19.5,4.158,-46.839912,0.305085,C[C@@H](Cc1ccc(O)cc1)NC[C@@H](O)C(F)(F)c1ccccc1
ZINCis000004pw2C,WXVL_AN2584QS1891,18.74,1.706,-44.234665,0.305085,Oc1ccc(CN2CC(N3CCCC3)C2)cc1I
ZINCoE000000ae0V,Z2629642730,18.35,5.606,-46.050613,0.323529,OCCOc1ccc(CN2CC[C@@H](Oc3ccccc3)C2)c(Br)c1
ZINCpC000001tbWm,Z5247694473,16.26,1.297,-47.868645,0.328571,Cc1cccc([C@@H](CO)N2CCN(Cc3cc(O)ccc3Cl)CC2)c1
ZINCoD0000015esz,Z2226596771,13.6,2.048,-45.707283,0.311475,C[C@@H](Cc1ccc(O)cc1)NCc1ccn(Cc2ccccc2)n1
ZINCoE000000afKb,Z2863415781,13.56,1.489,-50.148045,0.333333,O[C@H](CN1CCC(c2cccc3[nH]ccc23)CC1)c1ccccn1
ZINCox000000RoeK,Z3808146201,9.903,0.808,-44.760864,0.337838,O=C(c1cc([C@@H]2CCNC2)[nH]n1)N1CC[C@H](c2cccc(Cl)c2)C1
ZINClC000002MnpH,Z1348472291,8.907,2.009,-46.453163,0.306452,Clc1ccc(C#CCN2CCC[C@@H](c3cc[nH]n3)C2)cc1
ZINCjE0000056Gxx,Z5247693129,4.97,1.244,-47.457935,0.328358,C=CC=CCCN1CC[C@](O)(c2cccc(Br)c2)C1
ZINCnD000005oKoT,Z5247693829,4.62,0.2532,-45.364365,0.325,C[C@H](COC(=O)c1c[nH]nc1-c1cccc(Cl)c1)N1CCCC1
ZINCoE000003II36,Z1441676226,3.907,0.3948,-44.545319,0.321429,COc1ccc(COCCN(C)[C@@H](C)Cc2ccc(O)cc2)cc1
ZINCmw000001FFY8,Z3865153101,2.917,1.377,-45.769005,0.246753,CCN(Cc1cc(Br)ccc1O)C(=O)[C@@H](N)Cc1ccco1
ZINCpC000001d7Wy,Z5247694451,2.89,1.223,-44.354164,0.257143,CC(C)[C@@H](N)CCN(C)C(=O)C(=O)Nc1cc2ccccc2cc1Cl
ZINCls000000r6jF,Z3517963976,2.813,0.6437,-44.69355,0.307692,C=CCNC(=O)[C@H](C)N1CCC[C@@H](c2ccc(O)cc2)C1