compound_ID,% sigma2 binding at 1 uM,% sigma1 binding at 1 uM,sigma2 pKi,sigma1 pKi,SMILES,DOCK score
ZINC000120571916,17.66,,,,O=C(Nc1cccc(OC(F)(F)F)c1)C(=O)N1CCC[C@@H](N2CCCC2)CC1,-59.42
ZINC001109713565,28.75,,,,C[C@H](C(=O)N[C@H]1C[C@H]2CC[C@@H]1N2CCOCC1CC1)c1cccs1,-59.52
ZINC000894429059,33.62,,,,CCC(C)(C)N1CCN(c2cc(C(F)F)ncn2)CC1,-55.0
ZINC000886762228,109.81,,,,C=CCC1(O)CCN([C@H](C)C(=O)N[C@@H](C)c2ccc(Cl)cc2)CC1,-55.0
ZINC000843092160,16.24,,,,OC[C@@H](CNC[C@H](O)c1ccc(F)c(Br)c1)CC1CCCC1,-55.0
ZINC000825615260,104.46,,,,O=C([C@H](O)c1cccc([N+](=O)[O-])c1)N1CC[C@H](N2CCCC2)C1,-54.99
ZINC000775588849,39.03,,,,COc1ccc([C@H]2CCN(C[C@@H](O)c3ccc(F)cc3Cl)C2)cc1,-55.0
ZINC000645238909,35.45,,,,Clc1ccc(O[C@H]2CCN(C3CCCC3)C2)cc1,-54.99
ZINC000589606863,68.92,,,,C[C@H](CN(C)CC(=O)NCc1cccc(Cl)c1)c1ccccc1,-55.0
ZINC000584028046,18.38,,,,Fc1cccc(Cl)c1CNC1CCC2(CCCO2)CC1,-55.0
ZINC000574285278,76.19,,,,CCc1ccc([C@@H](C)N[C@@H]2CCCN(C(=O)CCC(F)(F)F)C2)s1,-55.0
ZINC000556573026,16.75,,,,CN1CC[C@](O)(CN[C@@H](c2sccc2Br)C2CCCCC2)C1,-55.0
ZINC000532978237,118.6,,,,COC(=O)c1ccccc1NC(=O)CN1C[C@@H](c2ccccc2)C[C@@H]1C,-55.0
ZINC000531059007,87.52,,,,CC1(C)[C@H](NC(=O)[C@]2(O)CCN(Cc3ccccc3)C2)[C@@H]2CCCO[C@@H]21,-55.0
ZINC000526962900,60.75,,,,Cc1cccc(C[C@H](CO)NCc2cnc(C3CCCCC3)s2)c1,-55.0
ZINC000517634594,98.74,,,,NC(=O)[C@H](Cc1ccc(Cl)cc1)NCc1cc2ccccc2s1,-55.0
ZINC000500192494,69.32,,,,C[C@]1(c2ccccc2)CCCN(CC(=O)N2CCc3ccccc32)C1,-55.0
ZINC000466933503,84.3,,,,C[C@@H]1CN(C2CC2)C[C@H]1NC(=O)N(Cc1cccc(Br)c1)C1CC1,-55.0
ZINC000453351921,69.23,,,,COc1cccnc1CN[C@H](Cc1ccc(C)cc1)C1CC1,-55.0
ZINC000439311985,106.41,,,,C[C@@H]1C[C@@H](c2ccccc2)CCN1Cc1nc(C2CC2)cs1,-55.0
ZINC000426526480,92.02,,,,O=C(CN1CC[C@@H]2CCC[C@@H]21)Nc1cccc(I)c1,-55.0
ZINC000332414923,87.24,,,,CC(C)CC(=O)N[C@@H](C(=O)N1CCC[C@H](N2CCCC2)C1)c1ccccc1,-55.0
ZINC000285725404,114.57,,,,CCc1cccc(C)c1NC(=O)CN1C[C@@H](N2CCCC2)C[C@H]1C,-55.0
ZINC000246894550,72.65,,,,CCN(C[C@@H]1CCN(Cc2ccccc2)C1)C(=O)[C@H]1CC(=O)N(C2CCCC2)C1,-55.0
ZINC000245453841,113.95,,,,C[C@@H](NC(=O)CNC(=O)CN1CCC[C@H]1C)c1ccc(F)cc1,-55.0
ZINC000228149300,112.76,,,,Cc1ccccc1NC(=O)CN1CCC[C@@H]1C[C@H](C)O,-55.0
ZINC000182372239,34.55,,,,CCN(CC)[C@H]1CCN(Cc2ncc(Cl)cc2Cl)C1,-55.0
ZINC000176805277,41.58,,,,COC(=O)[C@@H](NCC[C@H](C)N(C)Cc1ccccc1)c1cccc(C#N)c1,-55.0
ZINC001579778746,19.65,,,,Cc1cccc2c1CCN2C(=O)[C@@H]1CC[C@H]2CCCC[C@@H]2N1,-55.0
ZINC001156463732,32.58,,,,C(=C/c1ccccc1)\CNc1ccc2c(n1)CCC2,-55.0
ZINC000115566238,18.2,,,,CC(C)OCCN1CCN(C2CCC(C)CC2)CC1,-55.0
ZINC001096194954,118.19,,,,C[C@H](C(=O)N[C@H]1C[C@H]2CC[C@@H]1N2CCn1cccn1)c1ccccc1F,-55.0
ZINC001095312060,69.38,,,,Cc1ccc(CN2[C@@H]3CC[C@H]2[C@@H](NC(=O)c2cn(C)cn2)C3)c(C)c1,-55.0
ZINC000961091031,33.03,,,,O=C(C1CCCC1)N1CCC[C@H]([C@@H]2CCN(C/C=C\Cl)C2)C1,-52.5
ZINC000932649435,69.53,,,,CCOC(=O)[C@@H]1CCN(C[C@@H](O)COc2cccc(C)c2)C1,-52.5
ZINC000932000298,75.87,,,,O=C1[C@@H](N2CC[C@@H](C3OCCO3)C2)CCN1c1cccc(Br)c1,-52.5
ZINC000839577413,28.74,,,,C[C@@H]1CCC[C@H](CCN2CCC([C@H](O)c3ncc[nH]3)CC2)C1,-52.5
ZINC000809405032,99.35,,,,Cc1ccc(N2CCN(C(=O)C(=O)N[C@@H]3CN(C4CC4)C[C@@H]3C)CC2)cc1,-52.5
ZINC000805335094,133.28,,,,COc1ccc(C(=O)N2CC[C@H](N3CCCC3)[C@@H]2C)nc1Cl,-52.5
ZINC000802379169,89.66,,,,Cc1ccc(C2=NO[C@@H](CNC(=O)N3CC[C@H](N4CCCC4)C3)C2)cc1C,-52.5
ZINC000684407814,70.62,,,,CCN(CC)c1ncc(CN2CC(C(C)C)C2)s1,-52.5
ZINC000669616349,56.63,,,,OC[C@H](N[C@H]1Cc2[nH]c3ccccc3c2C1)C1CCCCC1,-52.5
ZINC000064804934,85.02,,,,CCCn1c(C)cc(/C=C(/C#N)C(=O)NCCN(C)Cc2ccccc2)c1C,-52.5
ZINC000624110289,49.28,,,,CC(C)CC[C@@H](CO)N[C@H](C)c1nc2c(s1)CCCC2,-52.5
ZINC000621202771,61.35,,,,CCCN1CCC[C@H]1C(=O)NCc1cnccc1C(F)(F)F,-52.5
ZINC000592403811,152.68,,,,CC(C)Cc1ccc(C(=O)N2CCN([C@@H]3CCC[C@@H]3O)CC2)cc1,-52.5
ZINC000574318236,100.35,,,,C[C@@H]1C[C@H](NC(=O)C(=O)N(C)Cc2c(Cl)cccc2Cl)CN1C1CC1,-52.5
ZINC000536865847,36.28,,,,CCc1cc(N2CCC[C@@H](N[C@H](C)c3ccc(OC)c(Cl)c3)C2)ncn1,-52.5
ZINC000525245955,93.6,,,,CC[C@@H]1CCC[C@H](NC(=O)[C@H](C)N2CCCCCC2)C1,-52.5
ZINC000520440291,102.18,,,,COc1cc(Cl)c(C)cc1NC(=O)[C@H](C)N(C)Cc1sccc1C,-52.5
ZINC000501775665,20.45,,,,C[C@@H](c1ccc(F)c(F)c1)N(C)C(=O)CN1CC[C@@H](C)[C@@H](C)C1,-52.5
ZINC000453607577,86.75,,,,Cc1ccc(C[C@H](CO)NCc2cccc(F)c2)cc1C,-52.5
ZINC000446751851,20.78,,,,O[C@@H](CN[C@@H](c1ccc(Br)cc1Cl)C1CC1)CN1CCCC1,-52.5
ZINC000436303801,75.29,,,,CC(C)N1C[C@H](NC(=O)N[C@@H](C)c2ccc(Br)s2)[C@@H](C)C1,-52.5
ZINC000410783840,103.41,,,,CN(Cc1cc(F)cc(F)c1)C(=O)C(=O)N1CC[C@H](N2CC=CC2)C1,-52.5
ZINC000376738332,84.0,,,,CC[C@H](c1ccccc1)N1CCC(C#N)(c2ccccn2)CC1,-52.5
ZINC000375486080,48.68,,,,C[C@@H](CO)N1CCCN([C@@H](C)C(=O)Nc2cccc(Cl)c2Cl)CC1,-52.5
ZINC000348635286,104.72,,,,CN(C/C=C\c1ccc(F)c(F)c1)[C@@H]1COC[C@@H]1O,-52.5
ZINC000295103757,114.07,,,,CS[C@@H]1CCN(Cc2cnc(C)n2-c2ccccc2)C1,-52.5
ZINC000261552362,56.06,,,,C[C@H]1CN/C(=N/Cc2cccc(OCc3ccccc3)c2)N1,-52.5
ZINC000172648663,96.31,,,,O=C(Nc1ccc2ncsc2c1)C(=O)N1CCCN(C2CCCC2)CC1,-52.5
ZINC000170742095,29.66,,,,FC(F)(F)c1ccc(-c2nc(CN3CC[C@H](N4CCCC4)C3)cs2)cc1,-52.5
ZINC001515357045,104.25,,,,O=C(C[C@]1(O)CCCNC1)Nc1cn2cc(Br)ncc2n1,-52.5
ZINC001307701283,62.48,,,,CC[C@H]1CCN(CC(=O)Nc2cc(Cl)ccc2C#N)[C@H]1C,-52.5
ZINC000124982852,89.75,,,,N#Cc1csc(CN2CCC[C@H]2Cc2ccccc2)c1,-52.5
ZINC001169307444,21.2,,,,C[C@@H](C(=O)NCc1ccc(Cl)cc1)N1CCC(C(C)(C)C)CC1,-52.5
ZINC000875242850,76.22,,,,C[C@H]1CCC[C@H](NC(=O)C(=O)N2CCC(N3CCN(C)CC3)CC2)CC1,-50.0
ZINC000080247921,24.68,,,,Cc1noc(-c2cccnc2NC2CCC(N3CCCCC3)CC2)n1,-50.0
ZINC000762555244,84.1,,,,Cc1nn(Cc2ccc(F)cc2)c(Cl)c1CNC[C@@]1(O)CCN(C)C1,-50.0
ZINC000073649189,74.21,,,,CC[C@@H](C)NC(=O)[C@@H](C)N1CCC(c2c[nH]c3ccccc32)CC1,-50.0
ZINC000726467110,79.46,,,,CCN1CCN(CCNC(=S)N[C@H](C)c2cccs2)CC1,-50.0
ZINC000685844120,51.3,,,,Brc1ccccc1-n1cc(CN2CC[C@@H]3CCC[C@@H]32)nn1,-50.0
ZINC000683045155,108.07,,,,CC[C@@]1(NCC(=O)Nc2ccc(C)cc2Br)CCOC1,-50.0
ZINC000657977970,83.09,,,,C[C@H](Cn1cncn1)N[C@@H]1CCN(c2ccccc2C(F)(F)F)C1,-50.0
ZINC000646273308,106.52,,,,C[C@@H](Cc1c(Cl)cccc1Cl)NC(=O)c1cn(C[C@@H]2CCCN2)nn1,-50.0
ZINC000631236280,91.98,,,,COc1ccccc1C[C@@](C)(CO)NCc1ccc2c(c1)ncn2C,-50.0
ZINC000608224751,75.63,,,,CC(C)Cc1ccc(C(=O)Nc2ccc(OCCN3CCN(C)CC3)cc2)cc1,-50.0
ZINC000586751050,98.23,,,,C[C@@H](C(=O)NC[C@H](C)N1CCCC1)c1c(Cl)cccc1Cl,-50.0
ZINC000584233558,22.68,,,,CC1(C)Cc2cc(C(=O)N3CCC[C@@H](N4CCCC4)CC3)ccc2O1,-50.0
ZINC000564110976,78.16,,,,CC1CCC(CNC(=O)C(=O)NC2CCN([C@@H]3CCC[C@@H]3O)CC2)CC1,-50.0
ZINC000557493019,113.25,,,,COCCN1CCC[C@@H]1CNC(=O)C(=O)N1CCC[C@@H](C(C)C)CC1,-50.0
ZINC000533411740,79.68,,,,C[C@H](C(=O)Nc1ccc(F)cc1Cl)N1CC[C@H](N2CCCC2)C1,-50.0
ZINC000524392254,93.92,,,,O=C(Nc1cnc2ccccc2c1)[C@]1(O)CCN(Cc2ccccc2)C1,-50.0
ZINC000504552433,49.17,,,,COCCN1CCC(N[C@H]2COc3cc(F)c(Br)cc32)CC1,-50.0
ZINC000465804078,67.75,,,,CCN(CC)[C@H]1CCN(C(=O)NCCCc2cccc(Cl)c2)C1,-50.0
ZINC000413145325,62.88,,,,CC1CCN(C[C@H](O)CNc2nccc3ccc([N+](=O)[O-])cc32)CC1,-50.0
ZINC000359009035,99.78,,,,CC(C)N1C[C@H](NC(=O)c2ccn(Cc3ccccc3)c2)[C@@H](C)C1,-50.0
ZINC000301468116,88.48,,,,c1ccc(SC[C@@H]2CCN(c3cc(N4CCCCC4)ncn3)C2)cc1,-50.0
ZINC000289897491,50.99,,,,C[C@@H]1COCC[C@@H]1NCCc1c[nH]c2cccc(Br)c12,-50.0
ZINC000286616311,75.0,,,,COC(=O)c1cccc(S(=O)(=O)N2CC[C@@H](N3CCCC3)[C@@H]2C)c1,-50.0
ZINC000286502332,139.12,,,,CNC(=O)CC[C@H]1CCCCN1Cc1cc(-c2ccccc2)on1,-50.0
ZINC000271284821,28.28,,,,CCCN(C)C[C@H]1CCN([C@H](C)C(=O)c2c[nH]c3ncccc23)C1,-50.0
ZINC000265181994,102.0,,,,COC1CCC(N(C)CC(=O)Nc2ccc3ccccc3c2)CC1,-50.0
ZINC000247147334,103.79,,,,CN1CCC[C@@H]2CN(Cn3ccc(-c4ccc(Br)cc4)n3)CC[C@H]21,-50.0
ZINC000192810020,88.96,,,,COc1ccc2ccccc2c1-c1cc(CN2CCN(C[C@@H](C)O)C[C@H]2C)on1,-50.0
ZINC000155998528,30.91,,,,CS[C@@H]1CCC[C@H](NC(=O)NC2CCN([C@@H]3CCCC[C@@H]3O)CC2)C1,-50.0
ZINC000155112667,33.83,,,,C[C@@H](CN1CCN(C)CC1)N[C@@H](C)c1ccc(-c2ccccc2)o1,-50.0
ZINC000153400973,99.42,,,,O=C(CN1CC[C@]2(CCOC2)C1)N[C@@H](Cc1ccccc1)c1ccccc1,-50.0
ZINC001418905447,129.53,,,,CC(C)N1CC[C@H](CCNC(=O)c2cc(-c3cccnc3)on2)C1,-50.0
ZINC000135482356,21.74,,,,O=C(CCc1cc(Br)ccc1F)N1CC[C@@H](CN2CCCC2)C1,-50.0
ZINC001033973784,43.25,,,,CCN(C(=O)c1ccnc(C2CC2)n1)[C@H]1CCN(CC2CCC2)C1,-50.0
ZINC000981787500,48.38,,,,O=C(C1CC2(CCC2)C1)N1CCCN(C[C@@H](O)c2ccccc2)CC1,-47.5
ZINC000972168981,63.41,,,,CN(C[C@H]1CCCCO1)[C@@H]1CCN(C(=O)c2nc(Cl)cs2)C1,-47.5
ZINC000866213504,204.0,,,,CN1CCN(C2CCN(c3nc(N)c4ccccc4n3)CC2)CC1,-47.5
ZINC000664479370,103.04,,,,O=C(N[C@H]1CCOC2(CCC2)C1)N1CCC(N2CC[C@@H](O)C2)CC1,-47.5
ZINC000575186982,22.95,,,,Cc1ccc2c(c1)[C@H](NC(=O)NC[C@@H]1CCN(C(C)C)C1)CCC2,-47.5
ZINC000556484619,111.92,,,,CC(C)OCCN1CCC(NC(=O)[C@@H]2CCc3nncn3C2)CC1,-47.5
ZINC000539406733,33.97,,,,CCCC1CCC(CN2CCN(CC(=O)N(CC)CC)CC2)CC1,-47.5
ZINC000529649527,84.33,,,,C[C@@H](C(=O)Nc1cccc(C2CCCCC2)c1)N1CCN(C)CC1,-47.5
ZINC000496403719,92.38,,,,CN(C[C@H](O)CN[C@@H]1C[C@H]2CCCCN2C1=O)C(=O)OC(C)(C)C,-47.5
ZINC000454705882,87.61,,,,CN1CC[C@@H](CNC(=O)Nc2cc(F)ccc2Oc2ccccc2)C1,-47.5
ZINC000452100574,73.35,,,,CC(C)N1CC[C@H](N(C)S(=O)(=O)C[C@H]2CCCCC2(F)F)C1,-47.5
ZINC000450551910,15.99,,,,C[C@@H]1CCC[C@H](NC(=O)CN2CCN(CCC3=CCCCC3)CC2)C1,-47.5
ZINC000417806012,96.17,,,,CC(C)(C(=O)N[C@@H]1CCCc2cc(N)ccc21)[C@H](N)c1ccccc1,-47.5
ZINC000416493836,72.27,,,,Cc1cc([N+](=O)[O-])cc(C)c1S(=O)(=O)NC[C@H]1CCN(C)C1,-47.5
ZINC000370933962,98.95,,,,CN1CCC(C(=O)N2CCC[C@@H](c3nc4ccc(F)cc4o3)C2)CC1,-47.5
ZINC000370893072,82.07,,,,O=C1CCCCN1[C@@H]1CCCN(Cc2cc(-c3ccccc3)no2)C1,-47.5
ZINC000367601434,90.78,,,,Cc1ccccc1Cc1nnc(CN2C[C@@H](N3CCCC3)C[C@H]2C)o1,-47.5
ZINC000362611503,27.85,,,,CCO[C@@H](CC(=O)N1CCCN(C2CCCC2)CC1)C1=CCCC1,-47.5
ZINC000285662957,17.45,,,,COc1ccc(-c2ccccc2)cc1CNCCC1(O)CCOCC1,-47.5
ZINC000272631760,91.19,,,,CN1CCC(C)(CNC(=O)Nc2ccc(Br)nc2)CC1,-47.5
ZINC000272592294,79.15,,,,Cc1c(Br)cccc1C(=O)N1CC[C@@H]2CCN(C)C[C@H]21,-47.5
ZINC000265281429,97.53,,,,Cc1cccnc1[C@H](NC(=O)N1CCN(C2CCC2)CC1)C(C)C,-47.5
ZINC000237909071,88.99,,,,N[C@@H](CC(=O)Nc1cccc(C(=O)N2CCCC2)c1)c1ccccc1,-47.5
ZINC000194878845,109.11,,,,CC(C)(C)N1CCC(NC(=O)c2ncccc2Br)CC1,-47.5
ZINC000159130997,107.85,,,,CC(C)[C@H](C(=O)NC[C@H](C[C@@H](C)O)c1ccccc1)N1CCCCC1,-47.5
ZINC000153451054,17.16,,,,Cc1cc(C(C)(C)C)ccc1OC[C@@H](O)CN1CC[C@]2(CCOC2)C1,-47.5
ZINC001403624658,65.26,,,,COc1ccc(C(=O)N(C)C[C@H](C)NCC2CCC(C)(C)CC2)nn1,-47.5
ZINC001399642198,21.25,,,,C[C@@H]1CCC[C@H](CCN(C)CCNC(=O)c2c3c(nn2C)CCC3)C1,-47.5
ZINC001391502525,43.61,,,,O=C(NCC1CN(CCC2CCCC2)C1)C1(c2cccnc2)CC1,-47.5
ZINC001381212829,71.11,,,,Cc1c(C(=O)NCC[C@H](C)NCc2nccc(C)n2)ccn1C(C)C,-47.5
ZINC000130668661,68.63,,,,CN1CCN(c2ncc(CN3CCN(CC4CC4)CC3)cn2)CC1,-47.5
ZINC001196417557,71.86,,,,CCc1ccc(F)cc1C(=O)N1CCCN(CCOC(C)C)CC1,-47.5
ZINC001099969021,28.49,,,,O=C(N[C@@H]1CCN(CCC2CCCC2)C[C@@H]1O)C1(C(F)F)CCC1,-47.5
ZINC001077034834,16.53,,,,Cc1c(F)cccc1C(=O)N[C@@H]1CN(CCC2CCCCC2)C[C@H]1O,-47.5
ZINC001061620290,91.28,,,,CN1CCC(C(=O)NC[C@@H]2CCN(c3ncc(Cl)cn3)C2)CC1,-47.5
ZINC001061317651,62.56,,,,CN1CCC[C@@H]1C(=O)NC[C@H]1CCCN1c1ncnc2scnc21,-47.5
ZINC001040612984,99.95,,,,COc1ccnc(CN2CCC3(CCN(C(=O)C(C)C)C3)CC2)c1,-47.5
ZINC001033739722,24.61,,,,CCN(C(=O)c1cnccn1)[C@@H]1CCN(CC2CCCCCC2)C1,-47.5
ZINC001032169623,92.82,,,,Cc1ccnc2nc(C(=O)NCC3CN(CCCC4CCC4)C3)nn21,-47.5
ZINC001018723708,101.35,,,,Cc1cc(C(=O)N2CC[C@H](NCc3cccc(Cl)c3F)C2)ncn1,-47.5
ZINC001004070100,85.54,,,,CC[C@@H](C(N)=O)N1CCC(NC(=O)[C@H]2Cc3ccc(Cl)cc32)CC1,-47.5
ZINC000971070823,90.89,,,,Cc1cc(C(=O)N2CC[C@H](N(C)Cc3ccc(C)c(C)c3)C2)on1,-45.0
ZINC000929842198,103.91,,,,O=C1CCCCN1C1CCN(C[C@H](O)C[C@]2(O)CCOC2)CC1,-45.0
ZINC000897504395,90.88,,,,C[C@@H]1CCCN1CCNC(=O)N1CCC[C@@H]1[C@@H]1CCCC[C@@]1(C)O,-45.0
ZINC000880249690,113.4,,,,NC(=O)C1(N2CCCCC2)CCN(CC(=O)NCC2CCC2)CC1,-45.0
ZINC000774469834,83.25,,,,O=C(NC1CCCCC1)C(=O)NC1CCN(C[C@H]2CCCO2)CC1,-45.0
ZINC000679555790,103.06,,,,COCCOCc1cccc(NC(=O)NCC2(C)CCN(C)CC2)c1,-45.0
ZINC000673584800,110.1,,,,O=C(NCCCC1CC1)C(=O)NC1CCN([C@H]2CCC[C@@H]2O)CC1,-45.0
ZINC000667676804,94.42,,,,O=C(Nc1cnn(CC2CC2)c1)C(=O)N1CCC[C@H]([C@@H]2CCNC2)C1,-45.0
ZINC000655168559,97.58,,,,O=C(Nc1ccc2ncnn2c1)[C@]1(O)CCN(Cc2ccccc2)C1,-45.0
ZINC000623468108,84.89,,,,C[C@@H]1CCCC[C@H]1OCCNC(=O)NC[C@H]1CCCCN(C)C1,-45.0
ZINC000603324806,65.51,,,,CCc1c(C(=O)N[C@@H](C)C2CCN(C)CC2)cnn1-c1ccccc1,-45.0
ZINC000588863575,133.79,,,,O=C(Cn1cc([N+](=O)[O-])ccc1=O)N1CC[C@H](N2CC[C@@H](O)C2)C1,-45.0
ZINC000495656270,45.07,,,,CCCCNC(=O)[C@H](C)N1CC[C@](C)(CNC(=O)OC(C)(C)C)C1,-45.0
ZINC000453336584,100.19,,,,C[C@@H](CC(N)=O)NC[C@H](CO)Cc1cc(Br)ccc1F,-45.0
ZINC000415549177,73.84,,,,O=C(NC[C@H]1CCCN1)Nc1cc(F)cc(F)c1Br,-45.0
ZINC000358071102,112.57,,,,CCc1ccnc(CNC(=O)C(=O)N[C@@H]2C[C@H](C)N(C3CC3)C2)c1,-45.0
ZINC000358051108,102.29,,,,CN1CC[C@](O)(CNC(=O)c2cc3cc([N+](=O)[O-])ccc3s2)C1,-45.0
ZINC000345970626,71.66,,,,CC[C@H](NC(=O)C(=O)N(CC)CCCN1CCCC1)[C@@H]1CCCO1,-45.0
ZINC000340106708,49.98,,,,Cc1ccncc1N1CCN(C[C@H](O)CN2C[C@@H](C)O[C@H](C)C2)CC1,-45.0
ZINC000339640280,105.79,,,,C[C@H]1CN(CCN(C)C(=O)C(=O)NC2CCN(C)CC2)C[C@H](C)O1,-45.0
ZINC000334024070,110.7,,,,C[C@H](C(=O)NCC1CCCCC1)N1CCC[C@H](N2CCCC2=O)CC1,-45.0
ZINC000298791523,89.03,,,,O=C(CN1CCC(c2nc3cc(Cl)ccc3o2)CC1)N1CCC1,-45.0
ZINC000188412270,106.47,,,,O=C(NCCc1ccc(F)c(Br)c1)[C@H]1C[C@H](F)CN1,-45.0
ZINC001437918206,102.57,,,,Cc1cnc(CN2CC[C@@H](CCNC(=O)c3cncs3)C2)s1,-45.0
ZINC001419404744,19.57,,,,Cc1cc(C)nc(C(=O)NCCC2CCN(CCOC(C)C)CC2)c1,-45.0
ZINC001377717241,101.46,,,,CCC1(C(=O)NCC[C@@H]2CCN(Cc3nccn3C)C2)CCCC1,-45.0
ZINC000136880129,53.87,,,,O=C(NCc1ccc(F)cc1C(F)(F)F)[C@@H]1CC12CCNCC2,-45.0
ZINC001149399826,96.42,,,,CN1CCC[C@@H]1C(=O)NC[C@H]1CN(CCCC(C)(C)C)CCCO1,-45.0
ZINC001048683995,61.65,,,,Cc1ccc(CN2C[C@@H]3CN(C(=O)c4cccn4C)C[C@@H]3C2)cc1C,-45.0
ZINC001019309159,99.62,,,,O=C([C@H]1Cc2ccccc21)N1CC[C@H](NCc2ccncc2Cl)C1,-45.0
