compound_ID,% sigma2 binding at 1 uM,% sigma1 binding at 1 uM,sigma2 pKi,sigma1 pKi,SMILES,DOCK score
ZINC001002178741,108.97,,,,Cc1cccc(F)c1C(=O)NCC1CCN(CCn2cncn2)CC1,-45.0
ZINC000973375109,110.87,,,,C[C@@H]1CCN(CC(=O)N[C@H]2C[C@H](NC(=O)c3cnnc(O)c3)C2)C1,-42.5
ZINC000950078544,108.01,,,,Cc1cc(C)nc(C(=O)N2CC[C@H]2CNC(=O)[C@@H]2CCN(C)C2)c1,-42.5
ZINC000903470913,92.22,,,,O=C(CN[C@H]1CCNC12CCC2)NCCN1CCc2ccccc21,-42.5
ZINC000847525041,59.31,,,,CN1CC[C@]2(CCN(C(=O)C(=O)Nc3cccc4nonc43)C2)C1,-42.5
ZINC000805503179,105.15,,,,CN1CCN(CCNC(=O)C(=O)NC[C@H]2CCC=CO2)CC1(C)C,-42.5
ZINC000804054066,90.02,,,,O=C(NC[C@@H]1CN2CCC[C@@H]2CO1)C(=O)N[C@@H]1CC[C@H]2CCC[C@@H]2C1,-42.5
ZINC000738383044,117.58,,,,O[C@@H](CN1CCN(c2ccc(-c3nn[nH]n3)cc2F)CC1)C1CC1,-42.5
ZINC000595353335,97.73,,,,CCCN1CC[C@H](NS(=O)(=O)c2ccc(C(=O)OC)cc2F)C1,-42.5
ZINC000576277949,67.18,,,,C[C@H](NC1CC1)C(=O)NCc1ccc(C(=O)N=c2cc[nH]cc2)cc1,-42.5
ZINC000556797005,79.9,,,,CN1CCN(C(=O)C(=O)N2CCCN(C3CCCC3)CC2)CC1=O,-42.5
ZINC000555574173,106.6,,,,CN1CCN(CCCCNC(=O)C(=O)N2CCSCC2)CC1,-42.5
ZINC000438095302,38.1,,,,C[C@@H]1CCC[C@@H](NC(=O)CN2CCN(CC[C@@H]3CCOC3)CC2)C1,-42.5
ZINC000418924570,64.94,,,,Cc1cccc(C)c1OC[C@H](C)NC(=O)C(=O)NC[C@@H]1CCCNC1,-42.5
ZINC000377772869,100.1,,,,CS[C@H](CO)[C@@H](C)NC(=O)N[C@@H]1CCN(C2CCN(C)CC2)C1,-42.5
ZINC000363920872,88.95,,,,CC(C)N1CCN([C@H]2CCN(C(=O)CC3(O)CCCCC3)C2)CC1,-42.5
ZINC000283462313,98.48,,,,Cc1noc(C)c1CNC(=O)C(=O)N1CCN(C2CCCC2)CC1,-42.5
ZINC000276781830,97.59,,,,CC[C@@]1(C)Oc2ccc(NC(=O)C(=O)NC[C@@H]3CCN(C)C3)cc2O1,-42.5
ZINC000270395954,120.68,,,,COCC1(O)CCN(C[C@@H](O)Cn2cnc3cc(C)c(C)cc32)CC1,-42.5
ZINC000182663590,97.95,,,,C[C@H](CCNC(=O)N1CCO[C@H]([C@@H]2CCCO2)C1)N1CCCCC1,-42.5
ZINC000178638284,111.07,,,,O=C1Nc2ccccc2C12CCC(NCC1(O)CCOCC1)CC2,-42.5
ZINC000152090354,44.74,,,,COC(=O)[C@@H](C)CS(=O)(=O)N[C@@H]1CCN(CC2CCCC2)C1,-42.5
ZINC001072835483,81.78,,,,CNC(=O)[C@@H](C)N1CCC2(CN(C(=O)c3c[nH]c4nccc-4c3)C2)C1,-42.5
ZINC001055479120,98.52,,,,CC(=O)NCCN1CCC(NC(=O)c2c(C)[nH]nc2Cl)CC1,-42.5
ZINC001041605786,109.74,,,,O=C([C@@H]1CCCN(CC(F)F)C1)N1CC[C@]2(CCN(CCO)C2)C1,-42.5
ZINC001021041334,86.23,,,,Cc1ccccc1CN[C@H]1C[C@H](NC(=O)c2cn(C)c(=O)nc2O)C1,-42.5
ZINC001006004942,125.63,,,,C[C@@H](NC(=O)c1cnnn1C)C1CN(C(=O)C23CCCN2CCC3)C1,-42.5
ZINC001003018745,85.67,,,,CCc1nnsc1C(=O)NCC1CN(C(=O)[C@H]2CCCN2C)C1,-42.5
ZINC001000730978,81.35,,,,O=C(NCC1CN(C(=O)[C@H]2CC[C@H]3CCCCN32)C1)c1cnccn1,-42.5
ZINC000995014137,122.93,,,,Cc1c(C(=O)NC2CN(C(=O)c3cnns3)C2)ccc2cncn21,-40.0
ZINC000991393621,116.1,,,,CCc1noc(C)c1C(=O)NC1CN(C(=O)[C@H]2CCCCN2C)C1,-40.0
ZINC000955102158,111.29,,,,CN(C(=O)c1cccnn1)C1CN(C(=O)[C@H]2CCC[C@H]3CCCN32)C1,-40.0
ZINC000937267298,111.07,,,,C[C@H]1CCCN1CC(=O)N(C)[C@H]1CCN(C(=O)CC(C)(C)O)C1,-40.0
ZINC000813849560,108.43,,,,C[C@H](NC(=O)c1ccc2[nH]c(=O)c(=O)[nH]c2c1)[C@H](O)c1ccccc1,-40.0
ZINC000679371269,114.36,,,,CN1CC[C@H]2CCN(C(=O)C(=O)Nc3cnc4c(c3)COCC4)[C@@H]2C1,-40.0
ZINC000671981913,105.72,,,,C[C@@H](NC(=O)C(=O)NCCCN1CCC[C@H](C(N)=O)C1)C1CCC1,-40.0
ZINC000627254962,113.47,,,,O=C([C@@H]1CCCN1c1ncccn1)N1CC[C@@H](N2CC[C@H](O)C2)C1,-40.0
ZINC000045463977,107.0,,,,CC(C)CN1CCC(NC(=O)NNC(=O)C(=O)NC2CC2)CC1,-40.0
ZINC000419873354,95.74,,,,CC[C@H]1CN(C(=O)C(=O)NCCCN2CCNCC2)CCS1,-40.0
ZINC000358062278,101.73,,,,CN1CC[C@](O)(CNC(=O)c2ccc([N+](=O)[O-])c3cccnc23)C1,-40.0
ZINC000297448741,104.83,,,,CN(CCCN(C)C(=O)C(=O)N(CCO)C1CC1)Cc1ccco1,-40.0
ZINC000287105318,117.3,,,,Cc1c(CNC(=O)C(=O)N2CC[C@@H](C3CCN(C)CC3)C2)cnn1C,-40.0
ZINC000279187431,104.95,,,,COCCOc1ccc(NC(=O)C(=O)N2C[C@H]3CN(C)C[C@H]3C2)cn1,-40.0
ZINC000158577469,111.13,,,,C[C@H]1C[C@@H](NC(=O)C(=O)Nc2cnn(CC(F)F)c2)CN1C1CC1,-40.0
ZINC001365986475,108.86,,,,COC[C@@H](O)CN1CC[C@H](NC(=O)c2c(C)c(C)nn(C)c2=O)C1,-40.0
ZINC000133744458,65.7,,,,CN(C(=O)C[C@@H]1CSCCN1)[C@@H]1CCCN(c2cccnn2)C1,-40.0
ZINC001073859800,110.41,,,,CCc1cc(C(=O)NC[C@H]2CN(CCn3cncn3)CCCO2)no1,-40.0
ZINC001055138151,102.76,,,,Cc1cnc(C(=O)N2C[C@H]3CN(C(=O)CN(C)C(C)C)C[C@H]3C2)cn1,-40.0
ZINC001054647418,104.39,,,,COCCn1cc(C(=O)N2C[C@@H](C)[C@@H](NCc3ccccn3)C2)nn1,-40.0
ZINC001039123057,114.56,,,,C[C@@H](O)CN1CC[C@H](C2CCN(C(=O)CN3CCOCC3)CC2)C1,-40.0
ZINC001028614115,115.31,,,,Cc1nc(O)[nH]c1C(=O)NC[C@H]1CCN([C@H](C)C(=O)NC2CC2)C1,-40.0
ZINC001028403773,109.02,,,,Cc1cc(C(=O)NC[C@@H]2CCN(CC(=O)Nc3cnccn3)C2)on1,-40.0
ZINC001018665695,120.03,,,,Cn1ccc(N2CC[C@@H](N[C@H]3CCN(C(=O)CC4CCC4)C3)C2=O)n1,-40.0
ZINC001002391793,90.15,,,,CCN1CC[C@@H](N2CCC(NC(=O)c3cncnc3C)CC2)C1=O,-40.0
ZINC001001445660,92.06,,,,O=C(NCC1CCN([C@H]2CCNC2=O)CC1)c1ccn(C(F)F)n1,-40.0
ZINC000997292482,87.85,,,,Cc1n[nH]cc1C(=O)NC1CN(C(=O)[C@H]2C[C@@H]3CCCCN3C2)C1,-37.5
ZINC000982403760,104.18,,,,CC(C)=CC(=O)N1CC[C@@H](CNC(=O)c2ccn(CCN(C)C)n2)C1,-37.5
ZINC000936344871,82.72,,,,C[C@H]1CCCN1CC(=O)N(C)[C@H]1CCN(C(=O)C2CCOCC2)C1,-37.5
ZINC000891830660,116.42,,,,CO[C@@H]1CN(C(=O)NCc2ccnc(N3CCN(C)CC3)c2)CCO1,-37.5
ZINC000863492725,178.69,,,,CCC1(N2CCOCC2)CCN(C(=O)C2=NN(C)C(=O)CC2)CC1,-37.5
ZINC000806327364,105.85,,,,CC[C@@H](CN1CCCC1)NC(=O)C(=O)NC1COC(C)(C)OC1,-37.5
ZINC000518759550,114.58,,,,Cc1ccnc2nc(C(=O)N3CCN(CCN4CCCC4)CC3)nn21,-37.5
ZINC000444807044,120.2,,,,CCO[C@@H]1C[C@](CO)(NC[C@H](O)COC2CCOCC2)C1(C)C,-37.5
ZINC000438905691,105.38,,,,Cc1c(C(=O)NCC2CCCC2)cnc2c1c(=O)n(C)c(=O)n2C,-37.5
ZINC000419445843,82.54,,,,CN(Cc1ccccc1)C(=O)CNC(=O)C(=O)N[C@H]1CCCNC1,-37.5
ZINC000378210510,95.3,,,,NC(=O)c1ccccc1N1CC[C@H](NC(=O)CC2CCNCC2)C1,-37.5
ZINC000366544782,110.5,,,,CN1CC[C@]2(CCN(C(=O)CN3C(=O)NC4(CCCC4)C3=O)C2)C1,-37.5
ZINC000349353698,142.42,,,,C[C@@H]1CCN2C(=O)N(CCCN3CCC[C@@H](C(N)=O)C3)C(=O)[C@H]2C1,-37.5
ZINC000343016571,117.79,,,,COCCN1CCC(NC(=O)C(=O)N[C@H]2CCOC(C)(C)C2)CC1,-37.5
ZINC000286782676,132.39,,,,CCc1nn(C)c(Cl)c1C(=O)N1CC[C@@H](N2CCNCC2)C1,-37.5
ZINC001416718427,80.49,,,,CCN1CCCC[C@H]1C(=O)NC[C@@H](O)CNC(=O)c1cnccn1,-37.5
ZINC001369886058,111.3,,,,O=C(CCn1cccn1)NCCN1CCN(CCn2cccn2)CC1,-37.5
ZINC001088099598,132.36,,,,Cc1ccoc1CC(=O)N1C[C@H]2CCN(CC(=O)N(C)C)C[C@H]2C1,-37.5
ZINC001074556982,89.59,,,,O=C(C[C@H]1C=CCC1)NCC1(O)CCN(C(=O)c2cncnc2)CC1,-37.5
ZINC001073886256,112.72,,,,CN1CC[C@@H](C(=O)NC[C@H]2CN(Cc3csnn3)CCCO2)C1,-37.5
ZINC001052175095,103.76,,,,CCN1CC[C@H](N2CCC[C@@H](NC(=O)c3ccc(O)nn3)CC2)C1=O,-37.5
ZINC001051553588,104.84,,,,Cc1ncc(CNC[C@@H]2CN(C(=O)c3cn(C)cn3)CCO2)cn1,-37.5
ZINC001042098162,101.64,,,,CN1CCC[C@H]1C(=O)NCC1(O)CN(C(=O)CCc2ncccn2)C1,-37.5
ZINC001023604137,89.27,,,,C[C@@H](C(N)=O)N1CCC[C@H](CNC(=O)c2nn(C)c3c2CCCC3)C1,-37.5
ZINC001021109191,105.9,,,,Cn1cc(CN[C@H]2C[C@H](NC(=O)c3cccc(C(N)=O)n3)C2)cn1,-37.5
ZINC001019525589,85.0,,,,Cc1ccc(C(=O)NC[C@H]2CN(C(=O)[C@@H]3CCN(C)C3)CCCO2)o1,-37.5
ZINC000956566890,112.53,,,,CCC(=O)N1CCN([C@H]2CCN(C(=O)c3c[nH]c(=O)cn3)C2)CC1,-32.5
ZINC000861751799,106.27,,,,Cc1cc(N(C)C)ccc1CNC(=O)C(=O)NC[C@@H]1COCCN1,-32.5
ZINC000531495018,99.31,,,,CC(=O)N1CCN(C(=O)C(=O)Nc2cnn(-c3ccccn3)c2)CC1,-32.5
ZINC000422349618,129.08,,,,COC(=O)[C@@]1(C)CCCN(C(=O)C(=O)N[C@@H](C)Cc2ccncc2)C1,-32.5
ZINC000420063417,94.08,,,,NC[C@@H](NC(=O)C(=O)NCCN1CCSCC1)C1CCCC1,-32.5
ZINC000361132106,76.38,,,,Cc1nc2n(n1)CCN(C(=O)C(=O)N[C@@H]1CCO[C@@H](CC(C)C)C1)C2,-32.5
ZINC001328800283,86.39,,,,C[C@@H](CNC(=O)C(=O)NCc1nnn(C)n1)N(C)Cc1ccccc1,-32.5
ZINC001323717111,95.03,,,,COC(=O)N1CCC[C@H](NC(=O)C(=O)N2CC[C@@](O)(C3CC3)C2)C1,-32.5
ZINC001261177261,70.88,,,,CCNS(=O)(=O)CCNC(=O)C(=O)N[C@@H](C)C1=CCN(C)CC1,-32.5
ZINC001202928172,117.23,,,,CN(C)S(=O)(=O)N(C)CC(=O)N[C@@H]1C[C@H](NCCO)C12CCC2,-32.5
ZINC001199969207,124.38,,,,Cc1cc(C(=O)N2CCCO[C@@H](CNCC(=O)NC3CC3)C2)n(C)n1,-32.5
ZINC001115282185,109.42,,,,CN(C)S(=O)(=O)CCC(=O)N[C@@H]1[C@H]2CN(Cc3ccon3)C[C@H]21,-32.5
ZINC001105862991,76.06,,,,Cc1cc(C)nc(NC[C@@H](O)CNC(=O)[C@@H]2CCc3c[nH]nc3C2)n1,-32.5
ZINC001071984909,89.86,,,,C[C@@H]1CN(C(=O)Cc2cncnc2)C[C@H]1NC(=O)CCn1cccn1,-32.5
ZINC001067478391,104.25,,,,O=C(c1cccnn1)N1CCC(O)(CNc2cncc(Cl)n2)CC1,-32.5
ZINC001046685471,101.21,,,,Cc1nc[nH]c1C(=O)N1CC(O)(CNC(=O)CN2CC[C@H](C)C2)C1,-32.5
ZINC001043772717,116.08,,,,CN1CCCC[C@@H]1C(=O)NCC1(O)CN(C(=O)CCc2cn[nH]c2)C1,-32.5
ZINC001041828396,103.02,,,,CN1CC[C@@H](C(=O)N2CC[C@@]3(CCN(Cc4nnn(C)n4)C3)C2)C1,-32.5
ZINC001041431730,98.6,,,,O=C(CCn1ccnc1)N1CC(O)(CNC(=O)[C@H]2CC=CCC2)C1,-32.5
ZINC001020327691,102.31,,,,Cc1nc(CN[C@H]2C[C@H](NC(=O)Cn3ncn(C)c3=O)C2)cs1,-32.5
ZINC001016825715,106.52,,,,C[C@@]1(C(=O)N[C@H]2CC23CCN(CC(=O)NC2CC2)CC3)CCNC1=O,-32.5
ZINC001015510639,87.4,,,,O=C(N[C@H]1CCN(CCn2cc(Cl)cn2)C1)[C@H]1CCNC1=O,-32.5
ZINC000995125582,101.7,,,,CN1CC[C@H](C(=O)NC2CN(C(=O)Cc3ccc(F)cn3)C2)CC1=O,-27.5
ZINC000989806749,117.73,,,,CCn1ncnc1CN1CCCN(C(=O)C[C@H]2CC(=O)NC2=O)CC1,-27.5
ZINC000973057271,110.91,,,,COCCN1C[C@H](C(=O)N[C@H]2C[C@H](NC(=O)c3cn[nH]c3)C2)CC1=O,-27.5
ZINC000970553575,92.82,,,,COc1ccc(C(=O)N[C@@H]2CN(C(=O)C3(C)CCC3)C[C@@H]2O)nn1,-27.5
ZINC000941361883,110.68,,,,Cc1cc(NC(=O)C(=O)N2CC[C@@H](NC(=O)c3cncn3C)C2)no1,-27.5
ZINC000850493342,135.45,,,,CON(C)CCNC(=O)C(=O)Nc1ccc2c(c1)C(=O)N(C)C2=O,-27.5
ZINC000748395040,108.13,,,,CN(C(=O)CCn1cnc2c1c(=O)n(C)c(=O)n2C)c1cn[nH]c1,-27.5
ZINC000659691253,82.07,,,,CNC[C@H](C)NC(=O)C(=O)NCc1ccc(N2CCO[C@@H](C)C2)nc1,-27.5
ZINC000618647685,91.73,,,,CN(C)S(=O)(=O)N(C)CC(=O)N[C@@H]1COc2cc(F)ccc2C1,-27.5
ZINC000529344158,134.77,,,,O=C(NC[C@@H]1CNCCO1)N1CCN(S(=O)(=O)C2CC2)CC1,-27.5
ZINC000442921898,111.13,,,,CO[C@H](C)CS(=O)(=O)N1CCN(C(=O)C(=O)N2CCCC2)CC1,-27.5
ZINC000408001865,110.0,,,,O=C(c1cncc(N2CCOCC2)c1)N1CCN2C(=O)NC[C@@H]2C1,-27.5
ZINC001363211634,78.61,,,,O=C(NCC1CN(C(=O)[C@@H]2CCc3nnc(O)n3C2)C1)C(F)(F)F,-27.5
ZINC001350153389,93.33,,,,O=C(Nc1ccc2c(cc[nH]c2=O)c1)C(=O)N1C[C@H](O)[C@@H](CO)C1,-27.5
ZINC001341791776,221.74,,,,COc1cccc2c1OC[C@H](NC(=O)C(=O)N[C@@H]1CC(=O)N(C)C1)C2,-27.5
ZINC001119470858,106.79,,,,O=C(NCCN1CCNC1=O)C(=O)NC[C@H]1CCc2ccccc21,-27.5
ZINC001119173847,95.81,,,,CO[C@@H](CNC(=O)C(=O)N1C[C@@H]2C(=O)N(C)C(=O)[C@@H]2C1)CC(C)C,-27.5
ZINC001109958062,90.22,,,,O=C(CN1CCNC(=O)C1)N[C@H](CNc1cc(F)ncn1)C1CC1,-27.5
ZINC001074702922,108.99,,,,NC(=O)C(=O)N1CCC(O)(CNC(=O)[C@H]2CCCCC2(F)F)CC1,-27.5
ZINC001065434920,57.81,,,,Cn1cc(C(=O)N2CCO[C@@H](CNC(=O)C=C3CCC3)C2)ncc1=O,-27.5
ZINC001060201073,76.01,,,,O=C(NCC[C@@H]1CCN(C(=O)c2ccncn2)C1)c1c[nH]c(=O)cn1,-27.5
ZINC001058732454,93.63,,,,Cn1nnc2c1ncnc2N1C[C@H]2CC[C@@H](C1)N2C(=O)c1cc[nH]n1,-27.5
ZINC001058532763,95.28,,,,O=C(N[C@H]1CCN(c2cc(Cl)c(O)nn2)C1)c1c[nH]c(=O)cn1,-27.5
ZINC001051633080,131.87,,,,O=C(Cn1cnnn1)N[C@H]1CCN(c2ncnc3c2CCC3)C[C@H]1O,-27.5
ZINC001046261579,114.12,,,,CCC[C@@H]1C[C@H]1C(=O)NCC1(O)CN(C(=O)C2CN(C(C)=O)C2)C1,-27.5
ZINC000998978244,98.3,,,,Cc1cnoc1C(=O)NC1CN(C(=O)[C@@H]2CCN(C)S2(=O)=O)C1,-22.5
ZINC000981250423,97.2,,,,Cn1nncc1C(=O)NC[C@H]1CC[C@@H](NC(=O)c2cnns2)C1,-22.5
ZINC000968717635,94.59,,,,CCc1c(C(=O)N[C@@H]2CN(C(=O)c3n[nH]cc3C)C[C@@H]2O)cnn1C,-22.5
ZINC000965338365,99.13,,,,O=C([C@H]1CCOC1)N1CCOC2(CN(C(=O)[C@@]3(F)CCOC3)C2)C1,-22.5
ZINC000961583379,91.06,,,,Cc1c(C(=O)N[C@@H]2CN(C(=O)C3=COCCC3)C[C@@H]2O)cnn1C,-22.5
ZINC000955144887,96.9,,,,CN(C(=O)c1c[nH]c(=O)cn1)C1CN(C(=O)c2n[nH]c3c2CCC3)C1,-22.5
ZINC000942457739,89.44,,,,Cn1nc(C(=O)N[C@@H]2CCN(C(=O)Cc3cscn3)C2)ccc1=O,-22.5
ZINC000938242679,107.14,,,,Cc1nc(C)c(CC(=O)N2CC[C@H](NC(=O)c3cnn[nH]3)C2)c(O)n1,-22.5
ZINC000907721339,118.67,,,,CS(=O)(=O)N1CC(C(=O)N2CC(=O)N(CC(F)(F)F)C2)C1,-22.5
ZINC000625246444,105.23,,,,COCC(COC)N1CCN(S(=O)(=O)c2cnc(C)n2C)CC1,-22.5
ZINC000407973885,120.38,,,,O=C(NC1CC1)C(=O)N1CCN(S(=O)(=O)C[C@@H]2CCCO2)CC1,-22.5
ZINC000345525893,90.8,,,,C[C@@H]1OCC[C@]1(C)NC(=O)CCc1nc2c([nH]1)n(C)c(=O)nc2O,-22.5
ZINC001413380655,117.92,,,,CC(=O)N[C@@H]1CCN(S(=O)(=O)c2cnn([C@@H]3CCOC3)c2)C1,-22.5
ZINC001363999416,104.46,,,,O=S(=O)(N[C@@H]1CCc2nnnn2CC1)c1cnc2n1CCCC2,-22.5
ZINC001326422624,99.17,,,,COC(=O)[C@@H]1C[C@H](O)CN(C(=O)C(=O)N[C@H](C)C2CCOCC2)C1,-22.5
ZINC001261948364,90.77,,,,CN1C(=O)[C@H]2CN(C(=O)C(=O)NC3CCC(F)(F)CC3)C[C@H]2C1=O,-22.5
ZINC001193095852,112.18,,,,CCOCCNC(=O)CN1C[C@@H](O)[C@H](NC(=O)[C@]23C[C@H]2COC3)C1,-22.5
ZINC001125309519,88.01,,,,CN(C[C@@H](O)CN(C)c1ncc(F)cn1)C(=O)CCc1cnn[nH]1,-22.5
ZINC001063398490,145.89,,,,CN(C)C(=O)c1cncc(N[C@H]2CC[C@H](NC(=O)C(N)=O)CC2)n1,-22.5
ZINC001047126822,107.22,,,,CC(C)n1cc(C(=O)N2CC(O)(CNC(=O)c3ccnnc3)C2)nn1,-22.5
ZINC001046939982,110.48,,,,NC(=O)[C@@H]1CCC[C@@H](C(=O)NCC2(O)CN(C(=O)C3CCC3)C2)C1,-22.5
ZINC001046914841,103.67,,,,C[C@H](C(=O)NCC1(O)CN(C(=O)Cn2ncnn2)C1)C1CCCC1,-22.5
ZINC001043817104,88.54,,,,CN(C)c1ccc(C(=O)N2CC(O)(CNC(=O)c3cnn[nH]3)C2)nc1,-22.5
ZINC001043696212,84.54,,,,CNC(=O)NCC(=O)N1CC(O)(CNC(=O)c2ccc(F)s2)C1,-22.5
ZINC001042722400,125.2,,,,Cn1nc(C(=O)N2CC(O)(CNC(=O)C3=CCOCC3)C2)ccc1=O,-22.5
ZINC001040614201,117.26,,,,COCCC(=O)N1CC[C@@](O)(CNC(=O)[C@@H]2CCN(C)C2=O)C1,-22.5
ZINC001025444165,95.65,,,,Cn1nccc1C(=O)N1C[C@@H](O)[C@H](NC(=O)c2c[nH]nc2C2CC2)C1,-22.5
ZINC001003297636,72.28,,,,O=C(Cn1cnnn1)N1CC(CNC(=O)C23CCCN2CCC3)C1,-22.5
ZINC001196519317,1.2%,1.1%,8.6,7.9,CC(C)CCO[C@@H]1CCN(C[C@H]2CC3(CO2)CCCCC3)C1,-56.30
ZINC000483826940,22.5%,NT,NT,NT,C[C@H](NC[C@H](CO)Cc1c(F)cccc1Cl)c1ccco1,-55.48
ZINC000662345330,42.3%,NT,NT,NT,CN(CC(=O)Nc1c(Cl)cccc1Cl)C[C@@H]1CC1(C)C,-55.86
ZINC000352856249,43.0%,NT,NT,NT,N#Cc1ccc(N2CCN(C[C@H](O)CC3CCCC3)CC2)c(F)c1,-56.65
ZINC000296435291,106.5%,NT,NT,NT,CS[C@H]1CCN([C@H](C)c2nc(-c3ccccc3C)no2)C1,-55.25
ZINC000129576345,14.2%,24.2%,NT,NT,COc1ccccc1O[C@H](C)CN[C@@H](C)c1ccccc1OC,-32.64
ZINC001087646081,99.4%,8.8%,NT,NT,CC[C@@H]1[C@@H](NC(=O)Cc2ccc(C)cc2)CCN1C[C@@H]1CCOC1,-27.94
ZINC000662800454,105.6%,86.9%,NT,NT,COc1cc(NC(=O)CC2(N)CC2)cc(OC)c1Br,-32.45
ZINC000261774189,108.3%,53.9%,NT,NT,C=CCOCC(=O)N(CCN)CCc1ccccc1,-23.44
ZINC000543048256,109.0%,59.2%,NT,NT,COc1cccc2ncnc(N3CCN(CC4CCOCC4)CC3)c21,-37.34
ZINC001655120594,112.4%,66.8%,NT,NT,C[C@H](OCCCNC(=O)CN1C[C@@H](C)OCC[C@H]1C)c1ccccc1,-36.27